"동별","연령별","항목","단위","2024. 4/4","2025. 1/4","2014 년","2015 년","2016 년","2017 년","2018 년","2019 년","2020 년","2021 년","2022 년","2023 년","2024 년",
"용산구","70~74세","계","","8779","9047","9637","9521","9179","9014","9120","9306","9547","8916","8778","8782","8779",
"용산구","70~74세","한국인","","8647","8896","9562","9443","9093","8919","9022","9201","9415","8771","8622","8650","8647",
"용산구","70~74세","등록외국인","","132","151","75","78","86","95","98","105","132","145","156","132","132",
"용산구","75~79세","계","","6881","6941","7122","7268","7515","8005","8032","7979","7842","7255","6935","7042","6881",
"용산구","75~79세","한국인","","6803","6851","7081","7226","7477","7956","7973","7921","7788","7189","6862","6972","6803",
"용산구","75~79세","등록외국인","","78","90","41","42","38","49","59","58","54","66","73","70","78",
"용산구","80~84세","계","","5405","5362","3897","4198","4570","4895","5232","5533","5666","5632","5776","5672","5405",
"용산구","80~84세","한국인","","5367","5321","3880","4180","4553","4876","5212","5506","5640","5602","5741","5633","5367",
"용산구","80~84세","등록외국인","","38","41","17","18","17","19","20","27","26","30","35","39","38",
"용산구","85~89세","계","","3311","3358","1997","2115","2263","2395","2525","2673","2939","2997","3080","3284","3311",
"용산구","85~89세","한국인","","3289","3332","1983","2107","2254","2388","2521","2670","2932","2989","3069","3272","3289",
"용산구","85~89세","등록외국인","","22","26","14","8","9","7","4","3","7","8","11","12","22",
"용산구","90~94세","계","","1189","1211","772","852","921","957","1005","1129","1197","1143","1097","1152","1189",
"용산구","90~94세","한국인","","1187","1208","768","847","916","950","1000","1123","1193","1139","1094","1150","1187",
"용산구","90~94세","등록외국인","","2","3","4","5","5","7","5","6","4","4","3","2","2",
"용산구","95~99세","계","","282","286","241","247","264","312","368","403","438","282","237","267","282",
"용산구","95~99세","한국인","","280","283","241","247","264","312","365","400","434","278","232","265","280",
"용산구","95~99세","등록외국인","","2","3","-","-","-","-","3","3","4","4","5","2","2",
"용산구","100세 이상","계","","56","58","262","291","317","314","339","355","373","73","41","60","56",
"용산구","100세 이상","한국인","","52","54","260","289","315","312","337","353","371","71","40","56","52",
