district_code,district,year,private_name
11230,동대문구,2019,슬림라운지&무브짐 회기점
11230,동대문구,2019,어메이징휘트니스
11230,동대문구,2019,휴맥스 짐
11230,동대문구,2020,D-GYM
11230,동대문구,2020,FITNESS K
11230,동대문구,2020,밤 피티 앤 필라테스
11230,동대문구,2020,버닝타임짐
11230,동대문구,2020,베이스오브바디
11230,동대문구,2020,빛나짐 PT
11230,동대문구,2020,어메이징 휘트니스
11230,동대문구,2020,에이치짐
11230,동대문구,2020,제프짐
11230,동대문구,2020,쿰짐(제이벌스)
11230,동대문구,2020,크로스핏 온앤온
11230,동대문구,2020,팀현gym
11230,동대문구,2020,하나더 짐
11230,동대문구,2021,101퍼센트짐
11230,동대문구,2021,"HEY, HONEY, WORKOUT!"
11230,동대문구,2021,fitpoint gym
11230,동대문구,2021,we body gym(위바디짐)
11230,동대문구,2021,닥터스트렝스
11230,동대문구,2021,메이크픽스짐
11230,동대문구,2021,브이엠휘트니스 청량리점
11230,동대문구,2021,빌리프짐 회기점
11230,동대문구,2021,에이치짐 PT
11230,동대문구,2021,오하운GYM
11230,동대문구,2021,원오원짐
11230,동대문구,2021,제네핏(Genefit)
11230,동대문구,2021,조피티짐
11230,동대문구,2021,짐 코사트
11230,동대문구,2021,피트니스131
